product_id,product_name,category,price,cost
P001,Urban Runner 1,Running,1484,727
P002,Cloud Runner 1,Running,1759,980
P003,Sprint Knit 1,Running,1483,645
P004,Trail Flex 1,Running,1728,995
P005,Urban Runner 2,Running,1744,951
P006,Cloud Runner 2,Running,1754,772
P007,Sprint Knit 2,Running,1785,855
P008,Trail Flex 2,Running,1629,925
P009,Urban Runner 3,Running,1762,971
P010,Cloud Runner 3,Running,1707,838
P011,Sprint Knit 3,Running,1629,828
P012,Trail Flex 3,Running,1540,662
P013,Urban Runner 4,Running,1793,934
P014,Cloud Runner 4,Running,1780,963
P015,Sprint Knit 4,Running,1729,994
P016,Trail Flex 4,Running,1591,895
P017,Everyday Ease 1,Casual,1420,640
P018,City Walk 1,Casual,1461,722
P019,Street Knit 1,Casual,1348,599
P020,Weekend Flex 1,Casual,1166,617
P021,Everyday Ease 2,Casual,1518,872
P022,City Walk 2,Casual,1447,683
P023,Street Knit 2,Casual,1512,748
P024,Weekend Flex 2,Casual,1297,584
P025,Everyday Ease 3,Casual,1334,661
P026,City Walk 3,Casual,1201,548
P027,Street Knit 3,Casual,1375,673
P028,Weekend Flex 3,Casual,1417,783
P029,Everyday Ease 4,Casual,1401,658
P030,City Walk 4,Casual,1429,790
P031,Street Knit 4,Casual,1323,637
P032,Weekend Flex 4,Casual,1471,685
P033,Classic Oxford 1,Formal,1845,816
P034,Executive Walk 1,Formal,2022,913
P035,Smart Derby 1,Formal,2071,1130
P036,Office Ease 1,Formal,1751,921
P037,Classic Oxford 2,Formal,1938,1056
P038,Executive Walk 2,Formal,2031,1002
P039,Smart Derby 2,Formal,1951,863
P040,Office Ease 2,Formal,1977,866
P041,Cloud Lounge 1,Lounge,1025,507
P042,Home Comfort 1,Lounge,1117,570
P043,Relax Knit 1,Lounge,880,458
P044,Soft Step 1,Lounge,1155,587
P045,Cloud Lounge 2,Lounge,885,414
P046,Home Comfort 2,Lounge,1073,455
P047,Easy Slip 1,Slip-On,1188,539
P048,Go Slip 1,Slip-On,1224,594
P049,Daily Slip 1,Slip-On,1447,661
P050,Quick Step 1,Slip-On,1391,597
P051,Easy Slip 2,Slip-On,1392,650
P052,Go Slip 2,Slip-On,1161,610
